movie_id,imdb_id,title,year,genre,director,actors,plot,imdb_rating
60,tt3692082,Little Horror Movie,2018,"Horror, Mystery",Jérôme Cohen-Olivar,"Einar Kuusk, Aouatefe Lahmani, Rebecca Ramon","Three You tubers struggling to get more views on their adventure channel, travel to the mythical city of Casablanca, unaware that it hides a terrifying secret.",4.1
61,tt0108399,True Romance,1993,"Crime, Drama, Romance",Tony Scott,"Christian Slater, Patricia Arquette, Dennis Hopper","In Detroit, a pop-culture enthusiast steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple.",7.9
62,tt0368222,Romance & Cigarettes,2005,"Comedy, Musical, Romance",John Turturro,"James Gandolfini, Susan Sarandon, Kate Winslet",This down-and-dirty musical set in the world of working-class New York tells the story of a husband's journey into infidelity and redemption when he must choose between his seductive mistress and his beleaguered wife.,6.2
63,tt0194314,Romance,1999,"Drama, Romance",Catherine Breillat,"Caroline Ducey, Sagamore Stévenin, François Berléand","Frustrated by the lack of intimacy in her relationship, a young schoolteacher goes through a series of intimidating and often violent sexual partners.",5.2
64,tt0076727,Office Romance,1977,"Comedy, Drama, Romance",Eldar Ryazanov,"Alisa Freyndlikh, Andrey Myagkov, Svetlana Nemolyaeva","The life of entire statistical bureau becomes crazy when an ordinary worker, a shy man, falls in love with a boss, a strict woman.",8.2
65,tt2988272,Shuddh Desi Romance,2013,"Comedy, Drama, Romance",Maneesh Sharma,"Sushant Singh Rajput, Parineeti Chopra, Rishi Kapoor",A romantic comedy which tells the journey of three restless young people who junk society's syllabus for finding love and decide to follow their heart.,5.8
66,tt0089643,Murphy's Romance,1985,"Comedy, Drama, Romance",Martin Ritt,"Sally Field, James Garner, Brian Kerwin","Emma moves to a ranch with her son after a divorce and befriends the older Murphy, but things turn complicated when her ex shows up.",7.0
67,tt0079477,A Little Romance,1979,"Adventure, Comedy, Romance",George Roy Hill,"Laurence Olivier, Diane Lane, Thelonious Bernard","American teenager Lauren King living in Paris, meets and falls in love with a local boy named Daniel Michon. They befriend storyteller Julius and take a trip to Venice in George Roy Hill's romantic comedy.",7.4
68,tt1743724,Guilty of Romance,2011,"Drama, Horror, Romance",Sion Sono,"Miki Mizuno, Makoto Togashi, Megumi Kagurazaka","A grisly murder occurs in Maruyama-cho, Shibuya, Tokyo - a love hotel district - a woman was found dead in a derelict apartment. Kazuko (Miki Mizuno) is a police officer called to investigate on this case, she will discover the st...",6.8
69,tt0082764,Modern Romance,1981,"Comedy, Romance",Albert Brooks,"Albert Brooks, Kathryn Harrold, Tyann Means",Albert Brooks directs himself as a successful film editor with far too many issues that affects the relationship between him and his remarkably patient girlfriend.,7.0
70,tt0090368,A Cruel Romance,1984,"Drama, Romance",Eldar Ryazanov,"Alisa Freyndlikh, Larisa Guzeeva, Nikita Mikhalkov",A bitter story about tender love and its cruel betrayal set in Russia of the 19th century.,7.9
